Function,Description
attr(),Returns the value of an attribute of the selected element
calc(),Allows you to perform calculations to determine CSS property values
cubic-bezier(),Defines a Cubic Bezier curve
hsl(),Defines colors using the Hue-Saturation-Lightness model (HSL)
hsla(),Defines colors using the Hue-Saturation-Lightness-Alpha model (HSLA)
linear-gradient(),Sets a linear gradient as the background image. Define at least two colors (top to bottom)
radial-gradient(),Sets a radial gradient as the background image. Define at least two colors (center to edges)
repeating-linear-gradient(),Repeats a linear gradient
repeating-radial-gradient(),Repeats a radial gradient
rgb(),Defines colors using the Red-Green-Blue model (RGB)
rgba(),Defines colors using the Red-Green-Blue-Alpha model (RGBA)
var(),Inserts the value of a custom property
