Category,Function,Description
Arrays,array(),Creates an array
Arrays,array_change_key_case(),Changes all keys in an array to lowercase or uppercase
Arrays,array_chunk(),Splits an array into chunks of arrays
Arrays,array_column(),Returns the values from a single column in the input array
Arrays,array_combine(),"Creates an array by using the elements from one ""keys"" array and one ""values"" array"
Arrays,array_count_values(),Counts all the values of an array
Arrays,array_diff(),"Compare arrays, and returns the differences (compare values only)"
Arrays,array_diff_assoc(),"Compare arrays, and returns the differences (compare keys and values)"
Arrays,array_diff_key(),"Compare arrays, and returns the differences (compare keys only)"
Arrays,array_diff_uassoc(),"Compare arrays, and returns the differences (compare keys and values, using a user-defined key comparison function)"
Arrays,array_diff_ukey(),"Compare arrays, and returns the differences (compare keys only, using a user-defined key comparison function)"
Arrays,array_fill(),Fills an array with values
Arrays,array_fill_keys(),"Fills an array with values, specifying keys"
Arrays,array_filter(),Filters the values of an array using a callback function
Arrays,array_flip(),Flips/Exchanges all keys with their associated values in an array
Arrays,array_intersect(),"Compare arrays, and returns the matches (compare values only)"
Arrays,array_intersect_assoc(),Compare arrays and returns the matches (compare keys and values)
Arrays,array_intersect_key(),"Compare arrays, and returns the matches (compare keys only)"
Arrays,array_intersect_uassoc(),"Compare arrays, and returns the matches (compare keys and values, using a user-defined key comparison function)"
Arrays,array_intersect_ukey(),"Compare arrays, and returns the matches (compare keys only, using a user-defined key comparison function)"
Arrays,array_key_exists(),Checks if the specified key exists in the array
Arrays,array_keys(),Returns all the keys of an array
Arrays,array_map(),"Sends each value of an array to a user-made function, which returns new values"
Arrays,array_merge(),Merges one or more arrays into one array
Arrays,array_merge_recursive(),Merges one or more arrays into one array recursively
Arrays,array_multisort(),Sorts multiple or multi-dimensional arrays
Arrays,array_pad(),"Inserts a specified number of items, with a specified value, to an array"
Arrays,array_pop(),Deletes the last element of an array
Arrays,array_product(),Calculates the product of the values in an array
Arrays,array_push(),Inserts one or more elements to the end of an array
Arrays,array_rand(),Returns one or more random keys from an array
Arrays,array_reduce(),"Returns an array as a string, using a user-defined function"
Arrays,array_replace(),Replaces the values of the first array with the values from following arrays
Arrays,array_replace_recursive(),Replaces the values of the first array with the values from following arrays recursively
Arrays,array_reverse(),Returns an array in the reverse order
Arrays,array_search(),Searches an array for a given value and returns the key
Arrays,array_shift(),"Removes the first element from an array, and returns the value of the removed element"
Arrays,array_slice(),Returns selected parts of an array
Arrays,array_splice(),Removes and replaces specified elements of an array
Arrays,array_sum(),Returns the sum of the values in an array
Arrays,array_udiff(),"Compare arrays, and returns the differences (compare values only, using a user-defined key comparison function)"
Arrays,array_udiff_assoc(),"Compare arrays, and returns the differences (compare keys and values, using a built-in function to compare the keys and a user-defined function to compare the values)"
Arrays,array_udiff_uassoc(),"Compare arrays, and returns the differences (compare keys and values, using two user-defined key comparison functions)"
Arrays,array_uintersect(),"Compare arrays, and returns the matches (compare values only, using a user-defined key comparison function)"
Arrays,array_uintersect_assoc(),"Compare arrays, and returns the matches (compare keys and values, using a built-in function to compare the keys and a user-defined function to compare the values)"
Arrays,array_uintersect_uassoc(),"Compare arrays, and returns the matches (compare keys and values, using two user-defined key comparison functions)"
Arrays,array_unique(),Removes duplicate values from an array
Arrays,array_unshift(),Adds one or more elements to the beginning of an array
Arrays,array_values(),Returns all the values of an array
Arrays,array_walk(),Applies a user function to every member of an array
Arrays,array_walk_recursive(),Applies a user function recursively to every member of an array
Arrays,arsort(),"Sorts an associative array in descending order, according to the value"
Arrays,asort(),"Sorts an associative array in ascending order, according to the value"
Arrays,compact(),Create array containing variables and their values
Arrays,count(),Returns the number of elements in an array
Arrays,current(),Returns the current element in an array
Arrays,each(),Deprecated from PHP 7.2. Returns the current key and value pair from an array
Arrays,end(),Sets the internal pointer of an array to its last element
Arrays,extract(),Imports variables into the current symbol table from an array
Arrays,in_array(),Checks if a specified value exists in an array
Arrays,key(),Fetches a key from an array
Arrays,krsort(),"Sorts an associative array in descending order, according to the key"
Arrays,ksort(),"Sorts an associative array in ascending order, according to the key"
Arrays,list(),Assigns variables as if they were an array
Arrays,natcasesort(),"Sorts an array using a case insensitive ""natural order"" algorithm"
Arrays,natsort(),"Sorts an array using a ""natural order"" algorithm"
Arrays,next(),Advance the internal array pointer of an array
Arrays,pos(),Alias of current()
Arrays,prev(),Rewinds the internal array pointer
Arrays,range(),Creates an array containing a range of elements
Arrays,reset(),Sets the internal pointer of an array to its first element
Arrays,rsort(),Sorts an indexed array in descending order
Arrays,shuffle(),Shuffles an array
Arrays,sizeof(),Alias of count()
Arrays,sort(),Sorts an indexed array in ascending order
Arrays,uasort(),Sorts an array by values using a user-defined comparison function
Arrays,uksort(),Sorts an array by keys using a user-defined comparison function
Arrays,usort(),Sorts an array using a user-defined comparison function
Dates,checkdate(),Validates a Gregorian date
Dates,date_add(),"Adds days, months, years, hours, minutes, and seconds to a date"
Dates,date_create_from_format(),Returns a new DateTime object formatted according to a specified format
Dates,date_create(),Returns a new DateTime object
Dates,date_date_set(),Sets a new date
Dates,date_default_timezone_get(),Returns the default timezone used by all date/time functions
Dates,date_default_timezone_set(),Sets the default timezone used by all date/time functions
Dates,date_diff(),Returns the difference between two dates
Dates,date_format(),Returns a date formatted according to a specified format
Dates,date_get_last_errors(),Returns the warnings/errors found in a date string
Dates,date_interval_create_from_date_string(),Sets up a DateInterval from the relative parts of the string
Dates,date_interval_format(),Formats the interval
Dates,date_isodate_set(),Sets the ISO date
Dates,date_modify(),Modifies the timestamp
Dates,date_offset_get(),Returns the timezone offset
Dates,date_parse_from_format(),"Returns an associative array with detailed info about a specified date, according to a specified format"
Dates,date_parse(),Returns an associative array with detailed info about a specified date
Dates,date_sub(),"Subtracts days, months, years, hours, minutes, and seconds from a date"
Dates,date_sun_info(),"Returns an array containing info about sunset/sunrise and twilight begin/end, for a specified day and location"
Dates,date_sunrise(),Returns the sunrise time for a specified day and location
Dates,date_sunset(),Returns the sunset time for a specified day and location
Dates,date_time_set(),Sets the time
Dates,date_timestamp_get(),Returns the Unix timestamp
Dates,date_timestamp_set(),Sets the date and time based on a Unix timestamp
Dates,date_timezone_get(),Returns the time zone of the given DateTime object
Dates,date_timezone_set(),Sets the time zone for the DateTime object
Dates,date(),Formats a local date and time
Dates,getdate(),Returns date/time information of a timestamp or the current local date/time
Dates,gettimeofday(),Returns the current time
Dates,gmdate(),Formats a GMT/UTC date and time
Dates,gmmktime(),Returns the Unix timestamp for a GMT date
Dates,gmstrftime(),Formats a GMT/UTC date and time according to locale settings
Dates,idate(),Formats a local time/date as integer
Dates,localtime(),Returns the local time
Dates,microtime(),Returns the current Unix timestamp with microseconds
Dates,mktime(),Returns the Unix timestamp for a date
Dates,strftime(),Formats a local time and/or date according to locale settings
Dates,strptime(),Parses a time/date generated with strftime()
Dates,strtotime(),Parses an English textual datetime into a Unix timestamp
Dates,time(),Returns the current time as a Unix timestamp
Dates,timezone_abbreviations_list(),"Returns an associative array containing dst, offset, and the timezone name"
Dates,timezone_identifiers_list(),Returns an indexed array with all timezone identifiers
Dates,timezone_location_get(),Returns location information for a specified timezone
Dates,timezone_name_from_ abbr(),Returns the timezone name from abbreviation
