Carrier,carrier_service_code,Description
ATS,ATS 01,ATS Shipments
ATS,ATS AUS,ATS Australia
ATS,ATS SIN,ATS Singapore
ATS,ATS JAP,ATS Japan
AUS,AUS01,Aus Post Standard Sig Required
AUS,AUS02,Aus Post Express Sig Required
AUS,AUS03,Aus Post Standard No Sig Required
AUS,AUS04,Aus Post Express No Sig Required
DHL,DHL 01,DHL Same Day Service
DHL,DHL 02,DHL 1 Day 10:30am
DHL,DHL 02S,DHL 1 Day 10:30am Sat Delivery
DHL,DHL 03,DHL 1 Day noon deliv
DHL,DHL 03S,DHL 1 Day noon Sat Delivery
DHL,DHL 04,DHL 1 Day 3pm Delivery
DHL,DHL 04S,DHL 1 Day 3pm Sat Delivery
DHL,DHL 05,DHL 2nd Day
DHL,DHL 05S,DHL 2nd Day Sat Delivery
DHL,DHL G,DHL Ground Service
DHL,DHL 06,DHL Worldwide Priority Express
FDX,FDX 08,FEDEX ECONOMY 2 DAY
FDX,FDX 03,FEDERAL EXPRESS PRIORITY OVERNIGHT
FDX,FDX MX,FedEx Ground Mexico
FDX,FDX 19,FedEx Freight Priority International
FDX,FDX 21,FedEx Freight Economy International
FDX,FDX 01,FEDEX 1ST OVERNIGHT
FDX,FDX GCA,FedEx Ground Canada
FDX,FDX 03S,FEDEX PRIORITY SATURDAY DELIVERY
FDX,FDX 10,FEDEX FREIGHT 2 DAY
FDX,FDX 07,FEDEX FREIGHT OVERNIGHT
FDX,FDX 05,FEDEX STANDARD OVERNIGHT
FDX,FDX 11,FEDEX SAVER PACKAGE 3 DAY
FDX,FDX SPSM,FedEx Smart Post Std Mail
FDX,FDX G,Fedex Ground
FDX,FDX 15,FEDEX INT'L PRIORITY
FDX,FDX 17,FEDEX INT'L ECONOMY
FDX,FDX SPPS,FedEx Smart Post Parcel Select
FDX,FDX GSR,Fedex Ground Signature Required
FDX,FDX 14,FEDEX 1ST INT'L
FDX,FDX 12,FEDEX 3DAY FREIGHT
FDX,FDX GC,FEDEX Ground Commercial
FDX,FDX 05SR,FEDEX STANDARD OVERNIGHT SIGNATURE REQ
FDX,FDX HDS,Fedex Home Delivery Saturday
FDX,FDX 08SR,FedEx Economy 2 Day (Signature Required)
FDX,FDX 03SR,FedEx Priority Overnight (Signature Req)
FDX,FDX 11SR,FedEx Saver 3 Day (Signature Required)
FDX,FDX 15SR,FedEx INT'L Priority Signature Required
FDX,FDX 17SR,FedEx INT'L Economy Signature Required
FDX,FDX HDSR,FedEx Home Delivery (Signature Required)
FDX,FDX HD,Fedex Home Delivery
FPS,FPST AUS,FreiPost Australia
FPS,FPSX PHIL,FreiPost Philippines Express
FPS,FPST PHIL,FreiPost Philippines
LMG,LMG 04,Canada Post Standard Sig Req
LMG,LMG 03,Canada stuff
LMG,LMG 05,Landmark Shipping Expedited Sig Req
LMG,LMG OTG1,Canada OTG
LMG,XLMG1,LMG OTG Service 01
LMG,LMG AUS,LMG International
LMG,LMG 02,Landmark Expedited
LMG,LMG LTL,Canada Ltl
LMG,LMG 01,Canada Post Standard
