category,html_code,css_code,unicode,entity,name
asterisks,&#42;,\002A,U+0002A,&midast;,asterisk
asterisks,&#8270;,\204E,U+0204E,,low asterisk
asterisks,&#8273;,\2051,U+02051,,two asterisks aligned vertically
asterisks,&#8727;,\2217,U+02217,&lowast;,asterisk operator
asterisks,&#10018;,\2722,U+02722,,four teardrop-spoked asterisk
asterisks,&#10019;,\2723,U+02723,,four balloon-spoked asterisk
asterisks,&#10020;,\2724,U+02724,,heavy four balloon-spoked asterisk
asterisks,&#10021;,\2725,U+02725,,four club-spoked asterisk
asterisks,&#10033;,\2731,U+02731,,heavy asterisk
asterisks,&#10034;,\2732,U+02732,,open center asterisk
asterisks,&#10035;,\2733,U+02733,,eight spoked asterisk
asterisks,&#10042;,\273A,U+0273A,,sixteen pointed asterisk
asterisks,&#10043;,\273B,U+0273B,,teardrop-spoked asterisk
asterisks,&#10044;,\273C,U+0273C,,open centre teardrop-spoked asterisk
asterisks,&#10045;,\273D,U+0273D,,heavy teardrop-spoked asterisk
asterisks,&#10051;,\2743,U+02743,,heavy teardrop-spoked pinwheel asterisk
asterisks,&#10057;,\2749,U+02749,,balloon-spoked asterisk
asterisks,&#10058;,\274A,U+0274A,,eight teardrop-spoked propeller asterisk
asterisks,&#10059;,\274B,U+0274B,,heavy eight teardrop-spoked propeller asterisk
asterisks,&#10694;,\29C6,U+029C6,,squared asterisk
asterisks,&#42611;,\A673,U+0A673,,slavonic asterisk
asterisks,&#65121;,\FE61,U+0FE61,,small asterisk
asterisks,&#65290;,\FF0A,U+0FF0A,,fullwidth asterisk
asterisks,&#128943;,\1F7AF,U+1F7AF,,light five spoked asterisk
asterisks,&#128944;,\1F7B0,U+1F7B0,,medium five spoked asterisk
asterisks,&#128945;,\1F7B1,U+1F7B1,,bold five spoked asterisk
asterisks,&#128946;,\1F7B2,U+1F7B2,,heavy five spoked asterisk
asterisks,&#128947;,\1F7B3,U+1F7B3,,very heavy five spoked asterisk
asterisks,&#128948;,\1F7B4,U+1F7B4,,extremely heavy five spoked asterisk
asterisks,&#128949;,\1F7B5,U+1F7B5,,light six spoked asterisk
asterisks,&#128950;,\1F7B6,U+1F7B6,,medium six spoked asterisk
asterisks,&#128951;,\1F7B7,U+1F7B7,,bold six spoked asterisk
asterisks,&#128952;,\1F7B8,U+1F7B8,,heavy six spoked asterisk
asterisks,&#128953;,\1F7B9,U+1F7B9,,very heavy six spoked asterisk
asterisks,&#128954;,\1F7BA,U+1F7BA,,extremely heavy six spoked asterisk
asterisks,&#128955;,\1F7BB,U+1F7BB,,light eight spoked asterisk
asterisks,&#128956;,\1F7BC,U+1F7BC,,medium eight spoked asterisk
asterisks,&#128957;,\1F7BD,U+1F7BD,,bold eight spoked asterisk
asterisks,&#128958;,\1F7BE,U+1F7BE,,heavy eight spoked asterisk
asterisks,&#128959;,\1F7BF,U+1F7BF,,very heavy eight spoked asterisk
Currency,&#36;,\0024,U+0024,&dollar;,Dollar Sign
Currency,&#162;,\00A2,U+00A2,&cent;,Cent Sign
Currency,&#163;,\00A3,U+00A3,&pound;,Pound Sign
Currency,&#164;,\00A4,U+00A4,&curren;,Currency Sign
Currency,&#165;,\00A5,U+00A5,&yen;,Yen Sign
Miscellaneous Symbols,&#169;,\00A9,U+00A9,&copy;,Copyright Sign
Miscellaneous Symbols,&#174;,\00AE,U+00AE,&reg;,Registered Sign
Miscellaneous Symbols,&#8482;,\2122,U+2122,&trade;,Trade Mark Sign
Miscellaneous Symbols,&#64;,\0040,U+0040,&commat;,Commercial At
Miscellaneous Symbols,&#8450;,\2102,U+2102,&Copf;,Double-Struck Capital C
Miscellaneous Symbols,&#8453;,\2105,U+2105,&incare;,Care Of
Miscellaneous Symbols,&#8458;,\210A,U+210A,&gscr;,Script Small G
Miscellaneous Symbols,&#8459;,\210B,U+210B,&hamilt;,Script Capital H
Miscellaneous Symbols,&#8460;,\210C,U+210C,&Hfr;,Black-Letter Capital H
Miscellaneous Symbols,&#8461;,\210D,U+210D,&Hopf;,Double-Struck Capital H
Miscellaneous Symbols,&#8462;,\210E,U+210E,&planckh;,Planck Constant
Miscellaneous Symbols,&#8463;,\210F,U+210F,&planck;,Planck Constant Over Two Pi
Miscellaneous Symbols,&#8464;,\2110,U+2110,&Iscr;,Script Capital I
Miscellaneous Symbols,&#8465;,\2111,U+2111,&image;,Black-Letter Capital I
Miscellaneous Symbols,&#8466;,\2112,U+2112,&Lscr;,Script Capital L
Miscellaneous Symbols,&#8467;,\2113,U+2113,&ell;,Script Small L
Miscellaneous Symbols,&#8469;,\2115,U+2115,&Nopf;,Double-Struck Capital N
Miscellaneous Symbols,&#8470;,\2116,U+2116,&numero;,Numero Sign
Miscellaneous Symbols,&#8471;,\2117,U+2117,&copysr;,Sound Recording Copyright
Miscellaneous Symbols,&#8472;,\2118,U+2118,&weierp;,Script Capital P
Miscellaneous Symbols,&#8473;,\2119,U+2119,&Popf;,Double-Struck Capital P
Miscellaneous Symbols,&#8474;,\211A,U+211A,&Qopf;,Double-Struck Capital Q
