hex,name,red,green,blue,hue,saturation,lightness,contrast_ratio,contrast_color
#FFFFFF,White,255,255,255,-1,0,255,21,#d3d3d3
#000000,Black,0,0,0,-1,0,0,1,#d3d3d3
#0B0B0B,"Cod Gray",11,11,11,-1,0,11,1,#d3d3d3
#323232,"Mine Shaft",50,50,50,-1,0,50,1,#d3d3d3
#7A7A7A,Boulder,122,122,122,-1,0,122,4,#d3d3d3
#808080,Gray,128,128,128,-1,0,128,5,#d3d3d3
#ACACAC,"Silver Chalice",172,172,172,-1,0,172,9,#d3d3d3
#C0C0C0,Silver,192,192,192,-1,0,192,11,#d3d3d3
#DBDBDB,Alto,219,219,219,-1,0,219,15,#d3d3d3
#E5E5E5,Mercury,229,229,229,-1,0,229,16,#d3d3d3
#EFEFEF,Gallery,239,239,239,-1,0,239,18,#d3d3d3
#F1F1F1,Seashell,241,241,241,-1,0,241,18,#d3d3d3
#F2F2F2,Concrete,242,242,242,-1,0,242,18,#d3d3d3
#F4F4F4,"Wild Sand",244,244,244,-1,0,244,19,#d3d3d3
#FAFAFA,Alabaster,250,250,250,-1,0,250,20,#d3d3d3
#FFFFFF,White],255,255,255,-1,0,255,21,#d3d3d3
#CC0000,Maroon,204,0,0,0,-1.009900990099,102,3,#d3d3d3
#990000,"Blackish Brown",153,0,0,0,-1.0132450331126,76.5,2,#d3d3d3
#993333,"Dark Grayish Brown",153,51,51,0,-0.5049504950495,102,2,#d3d3d3
#FFCCCC,"Light Pink",255,204,204,0,-0.11159737417943,229.5,14,#d3d3d3
#FF6666,Pink,255,102,102,0,-0.43098591549296,178.5,7,#d3d3d3
#FF5050,"Cherry Red",255,80,80,0,-0.52552552552553,167.5,6,#d3d3d3
#FF9999,"Light Coral",255,153,153,0,-0.2512315270936,204,10,#d3d3d3
#130000,Diesel,19,0,0,0,-1.1176470588235,9.5,1,#d3d3d3
#261414,Gondola,38,20,20,0,-0.32142857142857,29,1,#d3d3d3
#2B0202,"Sepia Black",43,2,2,0,-0.95348837209302,22.5,1,#d3d3d3
#341515,Tamarind,52,21,21,0,-0.43661971830986,36.5,1,#d3d3d3
#370202,Chocolate,55,2,2,0,-0.96363636363636,28.5,1,#d3d3d3
