entity_name,entity_number,description,category
&nbsp;,&#32;,Space,ASCII Characters
,&#33;,Exclamation mark,ASCII Characters
,&#34;,Quotation mark,ASCII Characters
,&#35;,Number sign,ASCII Characters
,&#36;,Dollar sign,ASCII Characters
,&#37;,Percent sign,ASCII Characters
&amp;,&#38;,Ampersand,ASCII Characters
,&#39;,Apostrophe,ASCII Characters
,&#40;,Opening/Left Parenthesis,ASCII Characters
,&#41;,Closing/Right Parenthesis,ASCII Characters
,&#42;,Asterisk,ASCII Characters
,&#43;,Plus sign,ASCII Characters
,&#44;,Comma,ASCII Characters
,&#45;,Hyphen,"ASCII Characters, Dashes"
,&#46;,Period,ASCII Characters
,&#47;,Slash,ASCII Characters
,&#48;,Digit 0,ASCII Characters
,&#49;,Digit 1,ASCII Characters
,&#50;,Digit 2,ASCII Characters
,&#51;,Digit 3,ASCII Characters
,&#52;,Digit 4,ASCII Characters
,&#53;,Digit 5,ASCII Characters
,&#54;,Digit 6,ASCII Characters
,&#55;,Digit 7,ASCII Characters
,&#56;,Digit 8,ASCII Characters
,&#57;,Digit 9,ASCII Characters
,&#58;,Colon,ASCII Characters
,&#59;,Semicolon,ASCII Characters
&lt;,&#60;,Less than,"ASCII Characters, Math"
,&#61;,Equals sign,"ASCII Characters, Math"
&gt;,&#62;,Greater than,"ASCII Characters,Math"
,&#63;,Question mark,ASCII Characters
,&#64;,At sign,ASCII Characters
,&#65;,Uppercase A,ASCII Characters
,&#66;,Uppercase B,ASCII Characters
,&#67;,Uppercase C,ASCII Characters
,&#68;,Uppercase D,ASCII Characters
,&#69;,Uppercase E,ASCII Characters
,&#70;,Uppercase F,ASCII Characters
,&#71;,Uppercase G,ASCII Characters
,&#72;,Uppercase H,ASCII Characters
,&#73;,Uppercase I,ASCII Characters
,&#74;,Uppercase J,ASCII Characters
,&#75;,Uppercase K,ASCII Characters
,&#76;,Uppercase L,ASCII Characters
,&#77;,Uppercase M,ASCII Characters
,&#78;,Uppercase N,ASCII Characters
,&#79;,Uppercase O,ASCII Characters
,&#80;,Uppercase P,ASCII Characters
,&#81;,Uppercase Q,ASCII Characters
,&#82;,Uppercase R,ASCII Characters
,&#83;,Uppercase S,ASCII Characters
,&#84;,Uppercase T,ASCII Characters
,&#85;,Uppercase U,ASCII Characters
,&#86;,Uppercase V,ASCII Characters
,&#87;,Uppercase W,ASCII Characters
,&#88;,Uppercase X,ASCII Characters
,&#89;,Uppercase Y,ASCII Characters
,&#90;,Uppercase Z,ASCII Characters
,&#91;,Opening/Left square bracket,ASCII Characters
,&#92;,Backslash,ASCII Characters
,&#93;,Closing/Right square bracket,ASCII Characters
,&#94;,Caret,ASCII Characters
,&#95;,Underscore,ASCII Characters
,&#96;,Grave accent,ASCII Characters
,&#97;,Lowercase a,ASCII Characters
,&#98;,Lowercase b,ASCII Characters
,&#99;,Lowercase c,ASCII Characters
,&#100;,Lowercase d,ASCII Characters
,&#101;,Lowercase e,ASCII Characters
,&#102;,Lowercase f,ASCII Characters
,&#103;,Lowercase g,ASCII Characters
,&#104;,Lowercase h,ASCII Characters
,&#105;,Lowercase i,ASCII Characters
,&#106;,Lowercase j,ASCII Characters
,&#107;,Lowercase k,ASCII Characters
,&#108;,Lowercase l,ASCII Characters
,&#109;,Lowercase m,ASCII Characters
,&#110;,Lowercase n,ASCII Characters
,&#111;,Lowercase o,ASCII Characters
,&#112;,Lowercase p,ASCII Characters
,&#113;,Lowercase q,ASCII Characters
,&#114;,Lowercase r,ASCII Characters
,&#115;,Lowercase s,ASCII Characters
,&#116;,Lowercase t,ASCII Characters
,&#117;,Lowercase u,ASCII Characters
,&#118;,Lowercase v,ASCII Characters
,&#119;,Lowercase w,ASCII Characters
,&#120;,Lowercase x,ASCII Characters
,&#121;,Lowercase y,ASCII Characters
,&#122;,Lowercase z,ASCII Characters
,&#123;,Opening/Left curly brace,ASCII Characters
,&#124;,Vertical bar,ASCII Characters
,&#125;,Closing/Right curly brace,ASCII Characters
,&#126;,Tilde,ASCII Characters
&Agrave;,&#192;,Capital a with grave accent,ISO-8859-1 Characters
&Aacute;,&#193;,Capital a with acute accent,ISO-8859-1 Characters
&Acirc;,&#194;,Capital a with circumflex accent,ISO-8859-1 Characters
&Atilde;,&#195;,Capital a with tilde,ISO-8859-1 Characters
&Auml;,&#196;,Capital a with umlaut,ISO-8859-1 Characters
&Aring;,&#197;,Capital a with ring,ISO-8859-1 Characters
&AElig;,&#198;,Capital ae,ISO-8859-1 Characters
&Ccedil;,&#199;,Capital c with cedilla,ISO-8859-1 Characters
&Egrave;,&#200;,Capital e with grave accent,ISO-8859-1 Characters
&Eacute;,&#201;,Capital e with acute accent,ISO-8859-1 Characters
&Ecirc;,&#202;,Capital e with circumflex accent,ISO-8859-1 Characters
&Euml;,&#203;,Capital e with umlaut,ISO-8859-1 Characters
&Igrave;,&#204;,Capital i with grave accent,ISO-8859-1 Characters
&Iacute;,&#205;,Capital i with accute accent,ISO-8859-1 Characters
&Icirc;,&#206;,Capital i with circumflex accent,ISO-8859-1 Characters
&Iuml;,&#207;,Capital i with umlaut,ISO-8859-1 Characters
&ETH;,&#208;,Capital eth (Icelandic),ISO-8859-1 Characters
&Ntilde;,&#209;,Capital n with tilde,ISO-8859-1 Characters
&Ograve;,&#210;,Capital o with grave accent,ISO-8859-1 Characters
&Oacute;,&#211;,Capital o with accute accent,ISO-8859-1 Characters
&Ocirc;,&#212;,Capital o with circumflex accent,ISO-8859-1 Characters
&Otilde;,&#213;,Capital o with tilde,ISO-8859-1 Characters
&Ouml;,&#214;,Capital o with umlaut,ISO-8859-1 Characters
&Oslash;,&#216;,Capital o with slash,ISO-8859-1 Characters
&Ugrave;,&#217;,Capital u with grave accent,ISO-8859-1 Characters
&Uacute;,&#218;,Capital u with acute accent,ISO-8859-1 Characters
&Ucirc;,&#219;,Capital u with circumflex accent,ISO-8859-1 Characters
&Uuml;,&#220;,Capital u with umlaut,ISO-8859-1 Characters
&Yacute;,&#221;,Capital y with acute accent,ISO-8859-1 Characters
&THORN;,&#222;,Capital thorn (Icelandic),ISO-8859-1 Characters
&szlig;,&#223;,Lowercase sharp s (German),ISO-8859-1 Characters
&agrave;,&#224;,Lowercase a with grave accent,ISO-8859-1 Characters
&aacute;,&#225;,Lowercase a with acute accent,ISO-8859-1 Characters
&acirc;,&#226;,Lowercase a with circumflex accent,ISO-8859-1 Characters
&atilde;,&#227;,Lowercase a with tilde,ISO-8859-1 Characters
&auml;,&#228;,Lowercase a with umlaut,ISO-8859-1 Characters
&aring;,&#229;,Lowercase a with ring,ISO-8859-1 Characters
&aelig;,&#230;,Lowercase ae,ISO-8859-1 Characters
&ccedil;,&#231;,Lowercase c with cedilla,ISO-8859-1 Characters
