code,name
PH-ABR,Abra
PH-AGN,Hilagang Agusan
PH-AGS,Timog Agusan
PH-AKL,Aklan
PH-ALB,Albay
PH-ANT,Antike
PH-APA,Apayaw
PH-AUR,Aurora
PH-BAS,Basilan
PH-BAN,Bataan
PH-BTN,Batanes
PH-BTG,Batangas
PH-BEN,Benget
PH-BIL,Biliran
PH-BOH,Bohol
PH-BUK,Bukidnon
PH-BUL,Bulakan
PH-CAG,Kagayan
PH-CAN,Hilagang Kamarines
PH-CAS,Timog Kamarines
PH-CAM,Kamigin
PH-CAP,Kapis
PH-CAT,Katanduwanes
PH-CAV,Kabite
PH-CEB,Sebu
PH-COM,Lambak ng Kompostela
PH-NCO,Kotabato
PH-DAV,Hilagang Dabaw
PH-DAS,Timog Dabaw
PH-DVO,Kanlurang Dabaw
PH-DAO,Silangang Dabaw
PH-DIN,Pulo ng Dinagat
PH-EAS,Silangang Samar
PH-GUI,Gimaras
PH-IFU,Ipugaw
PH-ILN,Hilagang Iloko
PH-ILS,Timog Iloko
PH-ILI,Iloilo
PH-ISA,Isabela
PH-KAL,Kalinga
PH-LUN,La Unyon
PH-LAG,Laguna
PH-LAN,Hilagang Lanaw
PH-LAS,Timog Lanaw
PH-LEY,Leyte
PH-MAG,Magindanaw
PH-MAD,Marinduke
PH-MAS,Masbate
PH-MDC,Kanlurang Mindoro
PH-MDR,Silangang Mindoro
PH-MSC,Kanlurang Misamis
PH-MSR,Silangang Misamis
PH-MOU,Lalawigang Bulubundukin
PH-NEC,Kanlurang Negros
PH-NER,Silangang Negros
PH-NSA,Hilagang Samar
PH-NUE,Nuweva Esiha
PH-NUV,Nuweva Biskaya
PH-PLW,Palawan
PH-PAM,Pampanga
PH-PAN,Pangasinan
PH-QUE,Keson
PH-QUI,Kirino
PH-RIZ,Risal
PH-ROM,Romblon
PH-WSA,Samar
PH-SAR,Sarangani
PH-SIG,Sikihor
PH-SOR,Sorsogon
PH-SCO,Timog Kotabato
PH-SLE,Katimogang Leyte
PH-SUK,Sultan Kudarat
PH-SLU,Sulu
PH-SUN,Hilagang Surigaw
PH-SUR,Timog Surigaw
PH-TAR,Tarlak
PH-TAW,Tawi-Tawi
PH-ZMB,Sambales
PH-ZAN,Hilagang Sambuwangga
PH-ZAS,Timog Sambuwangga
PH-ZSI,Sambuwangga Sibugay
